Machine_ID,Temperature,Run_Time,Downtime_Flag
1,84.48,1154,0
2,80.67,127,0
3,80.99,368,0
4,91.6,13,0
5,88.3,885,0
6,71.9,94,0
7,82.01,923,0
8,71.65,1175,0
9,63.83,559,0
10,92.25,114,0
11,63.9,636,0
12,74.09,427,0
13,105.44,1125,1
14,82.47,704,0
15,77.58,720,0
16,84.83,37,0
17,84.96,636,0
18,83.0,978,1
19,93.66,531,0
20,89.03,1088,0
21,84.19,27,0
22,78.04,416,0
23,73.16,351,0
24,78.21,901,1
25,74.27,533,0
26,71.32,413,0
27,86.54,679,0
28,81.45,620,0
29,88.45,848,0
30,63.58,875,0
31,77.59,109,0
32,80.08,17,0
33,73.72,795,0
34,83.12,905,1
35,100.67,1052,1
36,72.78,690,0
37,84.82,999,0
38,90.81,404,0
39,72.15,1014,1
40,66.84,390,0
41,84.11,375,0
42,63.64,753,0
43,61.36,724,0
44,67.44,1024,1
45,90.13,528,0
46,65.0,1135,1
47,71.15,281,0
48,75.39,878,0
49,69.74,722,0
50,81.95,884,0
51,89.58,625,0
52,94.05,161,0
53,74.35,530,0
54,77.09,373,0
55,82.65,556,0
56,96.22,1193,1
57,88.07,801,0
58,88.61,924,1
59,73.85,191,0
60,111.22,269,0
61,86.36,768,0
62,87.43,139,0
63,82.42,1199,0
64,62.94,121,0
65,68.83,1061,1
66,94.35,1029,1
67,80.87,657,0
68,67.4,326,0
69,80.14,519,0
70,80.79,844,0
71,84.97,172,0
72,83.99,497,0
73,80.92,402,0
74,64.05,258,0
75,82.92,648,0
76,88.78,24,0
77,89.23,675,0
78,64.39,1112,1
79,90.94,690,0
80,68.14,519,0
81,77.51,803,0
82,97.3,18,0
83,76.43,1184,1
84,89.43,1121,1
85,86.27,241,0
86,89.17,216,0
87,68.62,1090,1
88,83.43,1137,1
89,80.28,20,0
90,64.03,478,0
91,68.67,581,0
92,80.79,246,0
93,70.03,861,0
94,82.3,752,0
95,69.63,585,0
96,72.69,719,0
97,76.61,300,0
98,69.79,1126,1
99,85.13,901,0
100,95.64,793,0
101,67.21,603,0
102,69.14,733,0
103,95.42,301,0
104,69.78,1008,1
105,75.97,1053,0
106,67.42,1021,1
107,85.68,534,0
108,89.09,1186,0
109,89.55,891,0
110,83.5,391,0
111,88.91,929,0
112,75.21,234,0
113,84.57,98,0
114,89.32,856,0
115,80.71,86,0
116,76.16,290,0
117,84.58,214,0
118,76.72,1131,1
119,70.24,692,0
120,77.19,1111,1
121,81.34,328,0
122,94.0,565,0
123,70.73,871,0
124,77.63,471,0
125,84.35,85,0
126,75.17,1066,1
127,77.78,529,0
128,72.39,891,0
129,102.83,282,0
130,90.91,216,0
131,96.37,1028,1
132,73.17,1145,1
133,66.0,1003,1
134,85.37,21,0
135,56.29,755,0
136,83.5,439,0
137,85.57,1153,1
138,75.55,706,0
139,79.62,951,1
140,79.57,575,0
141,72.04,305,0
142,77.23,417,0
143,94.66,835,0
144,94.77,690,0
145,72.13,582,0
146,78.0,690,0
147,62.74,848,0
148,85.88,677,0
149,84.82,249,0
150,80.48,1047,1
151,77.23,327,0
152,89.07,905,1
153,80.15,218,0
154,103.2,1005,1
155,67.71,539,0
156,84.44,691,0
157,86.73,720,0
158,70.92,28,0
159,76.2,891,0
160,71.07,234,0
161,91.45,269,0
162,84.07,135,0
163,90.79,771,0
164,70.29,1148,1
165,69.46,1109,1
166,71.15,191,0
167,66.51,1049,0
168,95.19,345,0
169,97.69,1118,1
170,71.01,292,0
